x1,x2,x3,dt,conv_time,converged,t_final,first_simplex_after_wrap,ever_enters_simplex,ever_enters_inner,wrapped_entry_to_inner_same_visit,wraps_before_first_simplex,wraps_before_first_contracting,wraps_simplex_to_contracting,first_simplex_idx,first_contracting_idx
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.05,6.5,False,120.02165887837972,True,True,True,True,3,3,0,313,313
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.05,10.0,False,120.02165887837972,True,True,True,True,3,3,0,313,313
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.05,15.0,False,120.02165887837972,True,True,True,True,3,3,0,313,313
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.02,6.5,False,120.00776761254319,True,True,True,True,3,3,0,534,534
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.02,10.0,False,120.00776761254319,True,True,True,True,3,3,0,534,534
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.02,15.0,False,120.00776761254319,True,True,True,True,3,3,0,534,534
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.01,6.5,False,120.00897246777032,True,True,True,True,3,3,0,917,917
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.01,10.0,False,120.00897246777032,True,True,True,True,3,3,0,917,917
-0.8158889055244889,-1.359814842540815,0.27196296850816326,0.01,15.0,False,120.00897246777032,True,True,True,True,3,3,0,917,917
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.05,6.5,True,33.14162317459535,False,True,True,False,0,0,-1,21,21
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.05,10.0,True,36.50814237098898,False,True,True,False,0,0,-1,21,21
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.05,15.0,True,41.39394527378242,False,True,True,False,0,0,-1,21,21
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.02,6.5,True,33.24735003806064,False,True,True,False,0,0,-1,46,46
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.02,10.0,True,36.67294411110825,False,True,True,False,0,0,-1,46,46
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.02,15.0,True,41.61460684673324,False,True,True,False,0,0,-1,46,46
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.01,6.5,True,33.269672947075705,False,True,True,False,0,0,-1,86,86
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.01,10.0,True,36.72923785647947,False,True,True,False,0,0,-1,86,86
-0.8158889055244889,-0.8158889055244889,0.27196296850816326,0.01,15.0,True,41.69574862899827,False,True,True,False,0,0,-1,86,86
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.05,6.5,True,116.27391120326,True,True,True,True,33,33,0,3081,3081
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.05,10.0,True,119.59043266756764,True,True,True,True,33,33,0,3081,3081
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.05,15.0,False,120.04043266756761,True,True,True,True,33,33,0,3081,3081
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.02,6.5,True,116.35309749782955,True,True,True,True,35,35,0,5532,5532
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.02,10.0,True,119.75975769935941,True,True,True,True,35,35,0,5532,5532
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.02,15.0,False,120.01975769935936,True,True,True,True,35,35,0,5532,5532
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.01,6.5,True,116.40425757760812,True,True,True,True,35,35,0,9611,9611
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.01,10.0,True,119.85210101969969,True,True,True,True,35,35,0,9611,9611
-1.359814842540815,-0.2719629685081628,0.27196296850816326,0.01,15.0,False,120.00210101969977,True,True,True,True,35,35,0,9611,9611
-0.2719629685081628,-1.359814842540815,0.27196296850816326,0.05,6.5,True,116.27391120326,True,True,True,True,33,33,0,3081,3081
-0.2719629685081628,-1.359814842540815,0.27196296850816326,0.05,10.0,True,119.59043266756764,True,True,True,True,33,33,0,3081,3081
-0.2719629685081628,-1.359814842540815,0.27196296850816326,0.05,15.0,False,120.04043266756761,True,True,True,True,33,33,0,3081,3081
-0.2719629685081628,-1.359814842540815,0.27196296850816326,0.02,6.5,True,116.35309749782955,True,True,True,True,35,35,0,5532,5532
